week_date,region,platform,segment,customer_type,transactions,sales
31/8/20,ASIA,Retail,C3,New,120631,3656163.0
31/8/20,ASIA,Retail,F1,New,31574,996575.0
31/8/20,USA,Retail,null,Guest,529151,16509610.0
31/8/20,EUROPE,Retail,C1,New,4517,141942.0
31/8/20,AFRICA,Retail,C2,New,58046,1758388.0
31/8/20,CANADA,Shopify,F2,Existing,1336,243878.0
31/8/20,AFRICA,Shopify,F3,Existing,2514,519502.0
31/8/20,ASIA,Shopify,F1,Existing,2158,371417.0
31/8/20,AFRICA,Shopify,F2,New,318,49557.0
31/8/20,AFRICA,Retail,C3,New,111032,3888162.0
31/8/20,USA,Shopify,F1,Existing,1398,260773.0
31/8/20,OCEANIA,Shopify,C2,Existing,4661,882690.0
31/8/20,SOUTH AMERICA,Retail,C2,Existing,1029,38762.0
31/8/20,SOUTH AMERICA,Shopify,C4,New,6,917.0
31/8/20,EUROPE,Shopify,F3,Existing,115,35215.0
31/8/20,OCEANIA,Retail,F3,Existing,551905,30371770.0
31/8/20,ASIA,Shopify,C3,Existing,1969,374327.0
31/8/20,AFRICA,Retail,F1,Existing,97604,5185233.0
31/8/20,OCEANIA,Retail,C2,New,111219,2980673.0
31/8/20,USA,Retail,F1,New,11820,463738.0
31/8/20,SOUTH AMERICA,Retail,F3,Existing,1363,65730.0
31/8/20,AFRICA,Retail,C3,Existing,284971,14430196.0
31/8/20,ASIA,Retail,F2,New,70496,2176980.0
31/8/20,AFRICA,Shopify,F1,Existing,2678,478756.0
31/8/20,USA,Shopify,C4,New,22,3319.0
31/8/20,CANADA,Retail,F3,Existing,94274,5306746.0
31/8/20,ASIA,Retail,F1,Existing,94287,4511841.0
31/8/20,EUROPE,Retail,null,New,3064,134249.0
31/8/20,EUROPE,Shopify,F1,New,7,1579.0
31/8/20,SOUTH AMERICA,Retail,C4,New,329,11451.0
31/8/20,SOUTH AMERICA,Retail,F1,Existing,854,31589.0
31/8/20,EUROPE,Shopify,C2,Existing,180,53567.0
31/8/20,EUROPE,Shopify,F2,New,15,4023.0
31/8/20,AFRICA,Retail,C2,Existing,112361,4768214.0
31/8/20,ASIA,Shopify,C2,Existing,2269,396909.0
31/8/20,AFRICA,Shopify,C4,New,58,8562.0
31/8/20,USA,Retail,F3,Existing,142898,8723663.0
31/8/20,OCEANIA,Shopify,C3,Existing,4703,957939.0
31/8/20,SOUTH AMERICA,Shopify,null,New,40,7625.0
31/8/20,USA,Shopify,C1,New,164,20635.0
31/8/20,SOUTH AMERICA,Shopify,C1,New,20,2265.0
31/8/20,EUROPE,Retail,C1,Existing,14583,633917.0
31/8/20,OCEANIA,Shopify,F2,New,452,72293.0
31/8/20,SOUTH AMERICA,Retail,F2,New,382,13839.0
31/8/20,SOUTH AMERICA,Retail,C3,Existing,1503,68009.0
31/8/20,CANADA,Retail,F1,New,7033,269176.0
31/8/20,SOUTH AMERICA,Retail,null,Existing,329,10874.0
31/8/20,CANADA,Retail,F1,Existing,24153,1306932.0
31/8/20,EUROPE,Shopify,null,Existing,15,3507.0
31/8/20,EUROPE,Retail,F3,Existing,18676,1144376.0
31/8/20,SOUTH AMERICA,Shopify,C3,New,19,3325.0
31/8/20,CANADA,Shopify,null,Existing,87,15074.0
31/8/20,CANADA,Retail,C4,Existing,29577,1473178.0
31/8/20,OCEANIA,Retail,F1,New,41631,1369115.0
31/8/20,ASIA,Retail,F3,Existing,402652,20255591.0
31/8/20,ASIA,Retail,null,Guest,1936351,48773122.0
31/8/20,ASIA,Shopify,C2,New,413,55780.0
31/8/20,EUROPE,Shopify,F3,New,4,554.0
31/8/20,USA,Retail,C2,Existing,43493,2126153.0
31/8/20,OCEANIA,Retail,C2,Existing,169157,6603287.0
31/8/20,AFRICA,Shopify,null,Guest,5893,1026838.0
31/8/20,ASIA,Retail,C3,Existing,245151,11086427.0
31/8/20,CANADA,Shopify,C4,Existing,119,19049.0
31/8/20,ASIA,Shopify,F2,Existing,2983,564306.0
31/8/20,SOUTH AMERICA,Shopify,F3,Existing,32,7331.0
31/8/20,USA,Retail,F1,Existing,40076,2272687.0
31/8/20,SOUTH AMERICA,Shopify,C4,Existing,7,1562.0
31/8/20,CANADA,Shopify,null,New,88,12836.0
31/8/20,AFRICA,Retail,C4,New,46545,1548637.0
31/8/20,USA,Shopify,C2,New,228,45518.0
31/8/20,SOUTH AMERICA,Retail,C3,New,1045,37786.0
31/8/20,ASIA,Shopify,C4,Existing,279,48624.0
31/8/20,ASIA,Retail,null,New,66042,2156778.0
31/8/20,AFRICA,Retail,C4,Existing,117018,5941067.0
31/8/20,EUROPE,Retail,F1,Existing,6769,395877.0
31/8/20,AFRICA,Retail,F3,Existing,403810,22712143.0
31/8/20,SOUTH AMERICA,Shopify,F1,Existing,74,16149.0
31/8/20,CANADA,Retail,F2,Existing,61517,3322211.0
31/8/20,EUROPE,Retail,F3,New,1655,66422.0
31/8/20,AFRICA,Shopify,F1,New,201,27184.0
31/8/20,ASIA,Shopify,null,Guest,5794,979807.0
31/8/20,AFRICA,Retail,F1,New,23416,833470.0
31/8/20,OCEANIA,Retail,F1,Existing,144056,7178808.0
31/8/20,OCEANIA,Retail,C4,Existing,151673,7422165.0
31/8/20,CANADA,Shopify,C1,Existing,585,91616.0
31/8/20,CANADA,Retail,F2,New,18180,661362.0
31/8/20,CANADA,Retail,C1,New,30402,786613.0
31/8/20,SOUTH AMERICA,Shopify,C1,Existing,69,11755.0
31/8/20,USA,Retail,C2,New,26620,883573.0
31/8/20,AFRICA,Retail,null,New,58165,2232935.0
31/8/20,CANADA,Shopify,C1,New,97,12438.0
31/8/20,SOUTH AMERICA,Shopify,F2,Existing,37,8473.0
31/8/20,EUROPE,Retail,C2,New,2857,104677.0
31/8/20,OCEANIA,Retail,C4,New,65594,2016930.0
31/8/20,EUROPE,Retail,C2,Existing,9710,461694.0
31/8/20,EUROPE,Shopify,C4,New,3,1221.0
31/8/20,OCEANIA,Shopify,C3,New,567,95547.0
31/8/20,USA,Retail,C1,New,36069,990085.0
31/8/20,ASIA,Retail,F2,Existing,220712,10624187.0
31/8/20,OCEANIA,Shopify,null,Guest,11218,2078649.0
31/8/20,USA,Shopify,C3,New,205,33536.0
31/8/20,AFRICA,Shopify,C1,New,299,35957.0
31/8/20,EUROPE,Retail,F1,New,953,40760.0
31/8/20,SOUTH AMERICA,Shopify,C2,New,45,8917.0
31/8/20,CANADA,Shopify,C3,Existing,846,154393.0
31/8/20,USA,Retail,C1,Existing,57648,2393490.0
31/8/20,EUROPE,Shopify,C1,New,21,3288.0
31/8/20,SOUTH AMERICA,Shopify,F2,New,9,1437.0
31/8/20,OCEANIA,Shopify,F3,New,190,30264.0
31/8/20,AFRICA,Shopify,C3,Existing,2647,530397.0
31/8/20,CANADA,Shopify,C4,New,21,2494.0
31/8/20,OCEANIA,Retail,F2,New,91435,3101538.0
31/8/20,EUROPE,Retail,C3,New,3843,158799.0
31/8/20,USA,Retail,F3,New,28987,1096531.0
31/8/20,ASIA,Shopify,F2,New,245,35519.0
31/8/20,OCEANIA,Retail,C3,Existing,339633,16520774.0
31/8/20,EUROPE,Shopify,C3,Existing,182,45036.0
31/8/20,CANADA,Shopify,F3,Existing,659,126801.0
